0.040000 	 0.000000,0.000000,2.999680 	 0.100000, 0.000000, 4.999680
0.080000 	 0.000000,0.000000,2.999040 	 0.100000, 0.000000, 4.999040
0.120000 	 0.000000,0.000000,2.998080 	 0.100000, 0.000000, 4.998080
0.160000 	 0.000000,0.000000,2.996800 	 0.100000, 0.000000, 4.996800
0.200000 	 0.000000,0.000000,2.995200 	 0.100000, 0.000000, 4.995201
0.240000 	 0.000000,0.000000,2.993280 	 0.100000, 0.000000, 4.993280
0.280000 	 0.000000,0.000000,2.991040 	 0.100000, 0.000000, 4.991040
0.320000 	 0.000000,0.000000,2.988480 	 0.100000, 0.000000, 4.988480
0.360000 	 0.000000,0.000000,2.985600 	 0.100000, 0.000000, 4.985600
0.400000 	 0.000000,0.000000,2.982400 	 0.100000, 0.000000, 4.982400
0.440000 	 0.000000,0.000000,2.978880 	 0.100000, 0.000000, 4.978880
0.480000 	 0.000000,0.000000,2.975040 	 0.100000, 0.000000, 4.975040
0.520000 	 0.000000,0.000000,2.970880 	 0.100000, 0.000000, 4.970880
0.560000 	 0.000000,0.000000,2.966400 	 0.100000, 0.000000, 4.966400
0.600000 	 0.000000,0.000000,2.961600 	 0.100000, 0.000000, 4.961600
0.640000 	 0.000000,0.000000,2.956480 	 0.100000, 0.000000, 4.956481
0.680000 	 0.000000,0.000000,2.951040 	 0.100000, 0.000000, 4.951040
0.720000 	 0.000000,0.000000,2.945280 	 0.100000, 0.000000, 4.945280
0.760000 	 0.000000,0.000000,2.939200 	 0.100000, 0.000000, 4.939200
0.800000 	 0.000000,0.000000,2.932800 	 0.100000, 0.000000, 4.932800
0.840000 	 0.000000,0.000000,2.926080 	 0.100000, 0.000000, 4.926080
0.880000 	 0.000000,0.000000,2.919040 	 0.100000, 0.000000, 4.919040
0.920000 	 0.000000,0.000000,2.911680 	 0.100000, 0.000000, 4.911680
0.960000 	 0.000000,0.000000,2.904000 	 0.100000, 0.000000, 4.904000
1.000000 	 0.000000,0.000000,2.896000 	 0.100000, 0.000000, 4.896000
1.040000 	 0.000000,0.000000,2.887680 	 0.100000, 0.000000, 4.887680
1.080000 	 0.000000,0.000000,2.879040 	 0.100000, 0.000000, 4.879040
1.120000 	 0.000000,0.000000,2.870080 	 0.100000, 0.000000, 4.870080
1.160000 	 0.000000,0.000000,2.860800 	 0.100000, 0.000000, 4.860800
1.200000 	 0.000000,0.000000,2.851200 	 0.100000, 0.000000, 4.851200
1.240000 	 0.000000,0.000000,2.841280 	 0.100000, 0.000000, 4.841280
1.280000 	 0.000000,0.000000,2.831040 	 0.100000, 0.000000, 4.831040
1.320000 	 0.000000,0.000000,2.820480 	 0.100000, 0.000000, 4.820480
1.360000 	 0.000000,0.000000,2.809600 	 0.100000, 0.000000, 4.809600
1.400000 	 0.000000,0.000000,2.798400 	 0.100000, 0.000000, 4.798400
1.440000 	 0.000000,0.000000,2.786880 	 0.100000, 0.000000, 4.786880
1.480000 	 0.000000,0.000000,2.775040 	 0.100000, 0.000000, 4.775040
1.520000 	 0.000000,0.000000,2.762880 	 0.100000, 0.000000, 4.762880
1.560000 	 0.000000,0.000000,2.750400 	 0.100000, 0.000000, 4.750401
1.600000 	 0.000000,0.000000,2.737600 	 0.100000, 0.000000, 4.737600
1.640000 	 0.000000,0.000000,2.724480 	 0.100000, 0.000000, 4.724480
1.679999 	 0.000000,0.000000,2.711040 	 0.100000, 0.000000, 4.711040
1.719999 	 0.000000,0.000000,2.697280 	 0.100000, 0.000000, 4.697280
1.759999 	 0.000000,0.000000,2.683200 	 0.100000, 0.000000, 4.683200
1.799999 	 0.000000,0.000000,2.668800 	 0.100000, 0.000000, 4.668800
1.839999 	 0.000000,0.000000,2.654080 	 0.100000, 0.000000, 4.654080
1.879999 	 0.000000,0.000000,2.639040 	 0.100000, 0.000000, 4.639040
1.919999 	 0.000000,0.000000,2.623680 	 0.100000, 0.000000, 4.623680
1.959999 	 0.000000,0.000000,2.608000 	 0.100000, 0.000000, 4.608000
1.999999 	 0.000000,0.000000,2.592000 	 0.100000, 0.000000, 4.592000
2.039999 	 0.000000,0.000000,2.575680 	 0.100000, 0.000000, 4.575681
2.079999 	 0.000000,0.000000,2.559040 	 0.100000, 0.000000, 4.559041
2.119999 	 0.000000,0.000000,2.542080 	 0.100000, 0.000000, 4.542080
2.159999 	 0.000000,0.000000,2.524800 	 0.100000, 0.000000, 4.524800
2.199999 	 0.000000,0.000000,2.507200 	 0.100000, 0.000000, 4.507200
2.239999 	 0.000000,0.000000,2.489280 	 0.100000, 0.000000, 4.489280
2.279999 	 0.000000,0.000000,2.471040 	 0.100000, 0.000000, 4.471040
2.319999 	 0.000000,0.000000,2.452480 	 0.100000, 0.000000, 4.452480
2.359999 	 0.000000,0.000000,2.433600 	 0.100000, 0.000000, 4.433600
2.399999 	 0.000000,0.000000,2.414400 	 0.100000, 0.000000, 4.414401
2.439999 	 0.000000,0.000000,2.394880 	 0.100000, 0.000000, 4.394881
2.479999 	 0.000000,0.000000,2.375040 	 0.100000, 0.000000, 4.375041
2.519999 	 0.000000,0.000000,2.354880 	 0.100000, 0.000000, 4.354881
2.559999 	 0.000000,0.000000,2.334400 	 0.100000, 0.000000, 4.334401
2.599999 	 0.000000,0.000000,2.313601 	 0.100000, 0.000000, 4.313601
2.639999 	 0.000000,0.000000,2.292480 	 0.100000, 0.000000, 4.292480
2.679999 	 0.000000,0.000000,2.271040 	 0.100000, 0.000000, 4.271040
2.719999 	 0.000000,0.000000,2.249280 	 0.100000, 0.000000, 4.249280
2.759999 	 0.000000,0.000000,2.227201 	 0.100000, 0.000000, 4.227201
2.799999 	 0.000000,0.000000,2.204801 	 0.100000, 0.000000, 4.204801
2.839998 	 0.000000,0.000000,2.182081 	 0.100000, 0.000000, 4.182081
2.879998 	 0.000000,0.000000,2.159040 	 0.100000, 0.000000, 4.159041
2.919998 	 0.000000,0.000000,2.135680 	 0.100000, 0.000000, 4.135681
2.959998 	 0.000000,0.000000,2.112000 	 0.100000, 0.000000, 4.112001
